query_uid,et3,qpp5
fever:101552,ce100,ce100
fever:101553,ce100,ce100
fever:101558,ce20,ce100
fever:101565,ce100,ce100
fever:10158,ce20,bm25
fever:101583,ce100,ce100
fever:101604,ce20,bm25
fever:101618,bm25,bm25
fever:101619,bm25,bm25
fever:101638,ce100,ce100
fever:10164,ce100,ce100
fever:101641,ce100,ce100
fever:101656,ce100,ce100
fever:101661,ce100,ce100
fever:101668,ce100,ce100
fever:101680,ce100,ce100
fever:101683,ce20,ce100
fever:101702,ce20,ce100
fever:101708,bm25,bm25
fever:101715,ce100,ce100
fever:101716,ce100,ce100
fever:101722,ce20,ce100
fever:101759,ce100,ce100
fever:101771,ce100,ce100
fever:101773,ce20,ce100
fever:101795,ce20,ce100
fever:101808,ce100,ce100
fever:101812,ce100,ce100
fever:101821,ce20,bm25
fever:101839,ce20,ce100
fever:101845,ce20,ce100
fever:101883,ce100,ce100
fever:101898,ce100,ce100
fever:101906,ce100,ce100
fever:101932,ce20,ce100
fever:101985,ce20,ce100
fever:102001,ce20,ce100
fever:102003,ce100,ce100
fever:102014,ce20,ce100
fever:102019,ce20,ce100
fever:102020,ce100,ce100
fever:102035,bm25,bm25
fever:102038,ce20,bm25
fever:10204,ce100,ce100
fever:10205,ce100,ce100
fever:102079,ce20,bm25
fever:102080,ce20,ce100
fever:102120,ce100,ce100
fever:102142,ce100,ce100
fever:102151,ce20,ce100
fever:102161,ce100,ce100
fever:102173,ce20,ce100
fever:102175,ce20,ce100
fever:102209,ce100,ce100
fever:102297,bm25,bm25
fever:102303,ce100,ce100
fever:102346,ce100,ce100
fever:102352,ce100,ce100
fever:102355,ce20,ce100
fever:102393,bm25,bm25
fever:102417,ce100,ce100
fever:102418,ce100,ce100
fever:102445,ce100,ce100
fever:102448,ce20,ce100
fever:102487,ce20,bm25
fever:102523,ce100,ce100
fever:102528,ce100,ce100
fever:102540,ce100,ce100
fever:102547,ce20,ce100
fever:102583,ce20,ce100
fever:102594,ce100,ce100
fever:102600,ce20,ce100
fever:102605,ce100,ce100
fever:10261,ce100,ce100
fever:10262,ce100,ce100
fever:102627,ce100,ce100
fever:102636,ce20,ce100
fever:102714,ce20,ce100
fever:10272,ce20,ce100
fever:102721,ce100,ce100
fever:102741,ce100,ce100
fever:102745,ce100,ce100
fever:102751,ce100,ce100
fever:10277,ce20,bm25
fever:10278,ce20,ce100
fever:102784,bm25,bm25
fever:102789,ce20,ce100
fever:102793,bm25,bm25
fever:102797,ce100,ce100
fever:102818,ce20,ce100
fever:102832,ce100,ce100
fever:102872,ce100,ce100
fever:102875,ce100,ce100
fever:102876,ce100,ce100
fever:102884,ce20,ce100
fever:102892,ce100,ce100
fever:102911,ce20,ce100
fever:102913,ce100,ce100
fever:102920,ce100,ce100
fever:102932,ce100,ce100
fever:102986,ce100,ce100
fever:102990,ce20,ce100
fever:10300,ce100,ce100
fever:103003,ce20,ce100
fever:103005,ce20,bm25
fever:103014,ce20,ce100
fever:103040,ce20,ce100
fever:103050,ce100,ce100
fever:103051,ce20,bm25
fever:103060,ce100,ce100
fever:103063,ce100,ce100
fever:103084,ce20,ce100
fever:103098,ce20,bm25
fever:103111,ce100,ce100
fever:103116,bm25,bm25
fever:103118,bm25,bm25
fever:10312,ce20,ce100
fever:103154,ce20,ce100
fever:103158,ce20,ce100
fever:103167,ce100,ce100
fever:103173,ce20,ce100
fever:1032,bm25,bm25
fever:103221,ce100,ce100
fever:103234,ce100,ce100
fever:10324,ce100,ce100
fever:10327,bm25,bm25
fever:10328,bm25,bm25
fever:103298,ce100,ce100
fever:103307,ce100,ce100
fever:103325,ce100,ce100
fever:103357,ce100,ce100
fever:103375,ce100,ce100
fever:103398,ce20,ce100
fever:103402,ce100,ce100
fever:103451,ce100,ce100
fever:103456,ce20,ce100
fever:103484,ce20,bm25
fever:1035,ce20,ce100
fever:103503,ce20,ce100
fever:103509,ce20,bm25
fever:103511,ce100,ce100
fever:103535,ce20,ce100
fever:103545,ce100,ce100
fever:103562,ce20,bm25
fever:103568,ce100,ce100
fever:10357,ce100,ce100
fever:103583,ce100,ce100
fever:103643,ce20,bm25
fever:103663,ce20,ce100
fever:103665,ce20,bm25
fever:103709,ce20,ce100
fever:103717,ce20,ce100
fever:103742,ce100,ce100
fever:103745,ce20,ce100
fever:103757,ce100,ce100
fever:103758,ce20,bm25
fever:103767,ce100,ce100
fever:103773,ce100,ce100
fever:10378,bm25,bm25
fever:103786,ce20,ce100
fever:10379,bm25,bm25
fever:103809,ce100,ce100
fever:103816,ce100,ce100
fever:103833,bm25,bm25
fever:103840,ce100,ce100
fever:103862,ce100,ce100
fever:103863,ce20,ce100
fever:103872,ce20,ce100
fever:103893,ce20,ce100
fever:103914,ce20,ce100
fever:103934,ce20,ce100
fever:103941,bm25,bm25
fever:103947,ce100,ce100
fever:103948,ce100,ce100
fever:103951,ce100,ce100
fever:103964,ce20,ce100
fever:103994,ce100,ce100
fever:104017,ce100,ce100
fever:104021,bm25,bm25
fever:104031,ce100,ce100
fever:104036,ce100,ce100
fever:104075,ce20,ce100
fever:104129,ce100,ce100
fever:104135,ce20,ce100
fever:104150,ce20,ce100
fever:104152,ce20,ce100
fever:104178,ce20,ce100
fever:104205,bm25,bm25
fever:104206,ce20,ce100
fever:104221,ce20,ce100
fever:104241,ce20,ce100
fever:104244,ce20,bm25
fever:104249,ce20,ce100
fever:104255,ce20,ce100
fever:104298,ce100,ce100
fever:104308,ce20,ce100
fever:104332,ce20,ce100
fever:104365,ce100,ce100
fever:104380,ce100,ce100
fever:104386,ce20,ce100
fever:104423,bm25,bm25
fever:104426,ce20,ce100
fever:104427,ce20,ce100
fever:104438,ce20,ce100
fever:104458,ce20,bm25
fever:104472,ce20,ce100
fever:104495,ce20,ce100
fever:104499,ce20,ce100
fever:10450,ce20,bm25
fever:10451,ce20,ce100
fever:10452,ce20,bm25
fever:10453,bm25,bm25
fever:104530,ce100,ce100
fever:104547,ce100,ce100
fever:10455,ce100,ce100
fever:104553,ce20,bm25
fever:104555,ce20,ce100
fever:104594,ce100,ce100
fever:10460,ce20,ce100
fever:10461,ce100,ce100
fever:104617,bm25,bm25
fever:104631,ce20,ce100
fever:104632,ce20,ce100
fever:104650,ce20,ce100
fever:104677,ce100,ce100
fever:10468,ce20,bm25
fever:104697,ce20,ce100
fever:104703,ce100,ce100
fever:104710,ce20,bm25
fever:104729,ce100,ce100
fever:104735,bm25,bm25
fever:104747,ce20,bm25
fever:104798,ce20,ce100
fever:104808,ce100,ce100
fever:104811,bm25,bm25
fever:104847,ce100,ce100
fever:104913,ce20,ce100
fever:104922,ce20,ce100
fever:104926,ce20,ce100
fever:104930,bm25,bm25
fever:10496,ce20,ce100
fever:104970,ce100,ce100
fever:104982,ce20,bm25
fever:104983,ce100,ce100
fever:104988,ce100,ce100
fever:105025,ce20,ce100
fever:105038,ce20,ce100
fever:10504,ce100,ce100
fever:105049,ce20,ce100
fever:105059,bm25,bm25
fever:105060,ce100,ce100
fever:105077,ce100,ce100
fever:105095,ce20,ce100
fever:105123,bm25,bm25
fever:105128,ce20,ce100
fever:105134,ce20,ce100
fever:105176,ce20,ce100
fever:105216,bm25,bm25
fever:105236,ce20,bm25
fever:105256,ce20,ce100
fever:105257,bm25,bm25
fever:105298,ce20,ce100
fever:105299,ce20,ce100
fever:10530,ce20,ce100
fever:105301,ce20,ce100
fever:105304,ce20,bm25
fever:105310,ce20,bm25
fever:105313,bm25,bm25
fever:105361,ce100,ce100
fever:105383,ce100,ce100
fever:105401,ce20,ce100
fever:105419,ce100,ce100
fever:105432,ce100,ce100
fever:105437,ce100,ce100
fever:105526,ce20,ce100
fever:105530,ce20,ce100
fever:105540,bm25,bm25
fever:105558,ce100,ce100
fever:105584,ce20,ce100
fever:105594,ce20,bm25
fever:105600,ce20,ce100
fever:105614,ce100,ce100
fever:105634,ce100,ce100
fever:105645,ce20,ce100
fever:105651,ce100,ce100
fever:105664,ce100,ce100
fever:10567,ce100,ce100
fever:105693,ce20,ce100
fever:105702,ce20,ce100
fever:105719,ce20,ce100
fever:105724,ce20,ce100
fever:105788,ce20,ce100
fever:105806,ce20,ce100
fever:105813,bm25,bm25
fever:105835,ce20,bm25
fever:105842,ce20,bm25
fever:105896,ce100,ce100
fever:105928,ce20,ce100
fever:105931,ce20,ce100
fever:105933,bm25,bm25
fever:105954,ce100,ce100
fever:105997,ce20,ce100
fever:106010,ce20,ce100
fever:106016,ce20,ce100
fever:106019,ce100,ce100
fever:106023,ce20,ce100
fever:106030,bm25,bm25
fever:106044,ce20,bm25
fever:106071,ce20,ce100
fever:106078,ce100,ce100
fever:106084,ce20,bm25
fever:106114,bm25,bm25
fever:106115,bm25,bm25
fever:106132,ce20,ce100
fever:106144,bm25,bm25
fever:106162,ce20,ce100
fever:106176,ce100,ce100
fever:106191,bm25,bm25
fever:106206,ce20,ce100
fever:106209,ce100,ce100
fever:106211,ce100,ce100
fever:106236,bm25,bm25
fever:106288,bm25,bm25
fever:106296,ce100,ce100
fever:106308,ce100,ce100
fever:10634,ce100,ce100
fever:10635,ce100,ce100
fever:106359,ce20,ce100
fever:106369,bm25,bm25
fever:106387,bm25,bm25
fever:106392,ce20,ce100
fever:106404,bm25,bm25
fever:106458,ce100,ce100
fever:106478,ce20,ce100
fever:106481,ce20,ce100
fever:106496,ce20,ce100
fever:106498,ce100,ce100
fever:10650,ce20,bm25
fever:106513,ce100,ce100
fever:106526,ce100,ce100
fever:10654,bm25,bm25
fever:10655,bm25,bm25
fever:106557,ce100,ce100
fever:106600,ce20,ce100
fever:106615,ce20,ce100
fever:106627,ce20,ce100
fever:106646,ce20,ce100
fever:106668,ce100,ce100
fever:106683,ce100,ce100
fever:10670,ce100,ce100
fever:10671,ce100,ce100
fever:106732,ce20,bm25
fever:10674,ce100,ce100
fever:10675,ce100,ce100
fever:106802,ce20,ce100
fever:106809,ce100,ce100
fever:106826,ce100,ce100
fever:106832,bm25,bm25
fever:106836,ce100,ce100
fever:106851,ce20,ce100
fever:106855,ce20,ce100
fever:106859,ce100,ce100
fever:106870,ce100,ce100
fever:10688,ce100,ce100
fever:10689,ce100,ce100
fever:106912,ce100,ce100
fever:10692,ce20,ce100
fever:106921,bm25,bm25
fever:106926,ce20,ce100
fever:106928,ce20,ce100
fever:106929,ce100,ce100
fever:106940,ce20,ce100
fever:106966,ce100,ce100
fever:10698,ce20,ce100
fever:106981,ce20,ce100
fever:106996,ce20,ce100
fever:107005,ce20,ce100
fever:107035,ce20,ce100
fever:107036,ce100,ce100
fever:107042,ce20,ce100
fever:10706,ce20,ce100
fever:107060,ce20,bm25
fever:107064,ce20,ce100
fever:107067,ce100,ce100
fever:10707,ce20,ce100
fever:107073,ce100,ce100
fever:107119,ce100,ce100
fever:10712,ce20,ce100
fever:107124,ce20,ce100
fever:10713,ce20,ce100
fever:107135,ce20,ce100
fever:107163,ce100,ce100
fever:107185,ce20,ce100
fever:107192,ce20,bm25
fever:10721,ce100,ce100
fever:107258,ce20,bm25
fever:107273,bm25,bm25
fever:107285,ce20,ce100
fever:107287,ce100,ce100
fever:107305,bm25,bm25
fever:107307,ce20,ce100
fever:107308,ce20,ce100
fever:107320,ce20,bm25
fever:107322,ce20,ce100
fever:107335,ce100,ce100
fever:107347,ce100,ce100
fever:107362,ce20,ce100
fever:107364,ce100,ce100
fever:10738,ce20,ce100
fever:107384,ce20,ce100
fever:107413,ce100,ce100
fever:107419,ce20,ce100
fever:107438,ce20,ce100
fever:107465,ce20,ce100
fever:107470,bm25,bm25
fever:107480,ce20,bm25
fever:107503,ce20,ce100
fever:107510,ce20,ce100
fever:107511,ce20,ce100
fever:107520,ce100,ce100
fever:107543,ce100,ce100
fever:107547,bm25,bm25
fever:107583,ce20,ce100
fever:107585,ce20,ce100
fever:107589,ce100,ce100
fever:1076,ce100,ce100
fever:107600,ce20,ce100
fever:107611,ce20,bm25
fever:10765,ce100,ce100
fever:107654,ce20,ce100
fever:107667,ce20,ce100
fever:107699,ce100,ce100
fever:1077,ce100,ce100
fever:107725,bm25,bm25
fever:107731,ce100,ce100
fever:107749,ce100,ce100
fever:107764,bm25,bm25
fever:107783,ce100,ce100
fever:107786,ce100,ce100
fever:107793,ce100,ce100
fever:107816,ce20,ce100
fever:107833,ce20,ce100
fever:107856,ce100,ce100
fever:107878,ce20,ce100
fever:107910,ce100,ce100
fever:107926,ce20,ce100
fever:107928,ce20,ce100
fever:107968,ce100,ce100
fever:107977,ce100,ce100
fever:10798,ce100,ce100
fever:108003,ce100,ce100
fever:108031,ce100,ce100
fever:108034,ce20,ce100
fever:108079,ce20,ce100
fever:108085,ce100,ce100
fever:10810,bm25,bm25
fever:108104,ce20,bm25
fever:108107,bm25,bm25
fever:108115,ce100,ce100
fever:108119,ce100,ce100
fever:108122,ce100,ce100
fever:10814,ce20,ce100
fever:108145,ce20,ce100
fever:108162,ce100,ce100
fever:108171,ce100,ce100
fever:108198,ce100,ce100
fever:108201,ce20,ce100
fever:108202,ce20,ce100
fever:108208,ce100,ce100
fever:108267,bm25,bm25
fever:108279,ce20,ce100
fever:108281,ce20,ce100
fever:108297,ce100,ce100
fever:108301,ce100,ce100
fever:108315,ce100,ce100
fever:108325,ce20,bm25
fever:108326,ce20,ce100
fever:108345,ce100,ce100
fever:108352,ce20,ce100
fever:108376,ce100,ce100
fever:10838,ce100,ce100
fever:108420,ce100,ce100
fever:108426,ce20,ce100
fever:108434,ce20,bm25
fever:10844,ce100,ce100
fever:108444,ce20,ce100
fever:108456,ce20,ce100
fever:108481,ce100,ce100
fever:108486,ce100,ce100
fever:108498,ce100,ce100
fever:108510,ce100,ce100
fever:108518,ce100,ce100
fever:108525,ce100,ce100
fever:108547,ce100,ce100
fever:108548,ce100,ce100
fever:108567,ce100,ce100
fever:108598,ce100,ce100
fever:108618,ce100,ce100
fever:108634,ce20,ce100
fever:108646,bm25,bm25
fever:108663,ce100,ce100
fever:108705,bm25,bm25
fever:108727,ce20,ce100
fever:108734,ce100,ce100
fever:108736,ce20,ce100
fever:108739,ce20,ce100
fever:108752,ce20,ce100
fever:108753,ce20,ce100
fever:108755,ce100,ce100
fever:108756,ce100,ce100
fever:108767,ce20,ce100
fever:108772,ce20,ce100
fever:108791,ce20,bm25
fever:108803,ce20,bm25
fever:108814,bm25,bm25
fever:108836,ce20,ce100
fever:108837,ce100,ce100
fever:108839,ce20,ce100
fever:108859,ce20,ce100
fever:108868,ce100,ce100
fever:108880,ce100,ce100
fever:108882,bm25,bm25
fever:108889,ce20,ce100
fever:108894,ce20,ce100
fever:10890,ce100,ce100
fever:108917,ce100,ce100
fever:108919,bm25,bm25
fever:108920,ce20,ce100
fever:108937,ce20,ce100
fever:108940,ce100,ce100
fever:108947,ce100,ce100
fever:108950,ce20,ce100
fever:108956,ce20,ce100
fever:108957,ce20,bm25
fever:108997,ce100,ce100
fever:109024,ce20,ce100
fever:109036,ce100,ce100
fever:109073,ce20,ce100
fever:109128,ce20,bm25
fever:109129,ce20,bm25
fever:109140,ce100,ce100
fever:109142,ce20,ce100
fever:109145,ce20,ce100
fever:109162,bm25,bm25
fever:109171,ce100,ce100
fever:109195,ce20,ce100
fever:109210,ce20,ce100
fever:10923,ce20,bm25
fever:109234,ce100,ce100
fever:109246,ce100,ce100
fever:109288,ce20,ce100
fever:109293,bm25,bm25
fever:1093,ce20,ce100
fever:109368,ce20,ce100
fever:109373,ce100,ce100
fever:1094,ce20,ce100
fever:109408,bm25,bm25
fever:10942,bm25,bm25
fever:109431,bm25,bm25
fever:109447,ce20,bm25
fever:109461,ce20,ce100
fever:10947,ce20,ce100
fever:109499,ce20,ce100
fever:109522,ce20,bm25
fever:10954,ce20,bm25
fever:109563,ce100,ce100
fever:109564,ce100,ce100
fever:109566,ce20,ce100
fever:109582,bm25,bm25
fever:109623,ce100,ce100
fever:109701,ce100,ce100
fever:109719,ce100,ce100
fever:109728,ce20,ce100
fever:109737,ce20,ce100
fever:109744,ce100,ce100
fever:109785,ce100,ce100
fever:109786,ce100,ce100
fever:109793,ce20,ce100
fever:109817,ce100,ce100
fever:109831,ce100,ce100
fever:109834,ce100,ce100
fever:109876,ce20,ce100
fever:109877,ce20,ce100
fever:109878,ce100,ce100
fever:109898,ce20,ce100
fever:109933,ce20,bm25
fever:109941,ce100,ce100
fever:110008,ce100,ce100
fever:110011,ce100,ce100
fever:110012,ce100,ce100
fever:11002,ce20,ce100
fever:110035,ce100,ce100
fever:110040,ce100,ce100
fever:110059,ce20,ce100
fever:11009,ce20,ce100
fever:110106,ce20,ce100
fever:110110,ce100,ce100
fever:110133,ce100,ce100
fever:110147,ce20,ce100
fever:110175,ce100,ce100
fever:110197,bm25,bm25
fever:110205,ce20,ce100
fever:110209,ce100,ce100
fever:110221,ce20,ce100
fever:110242,ce100,ce100
fever:110274,ce20,ce100
fever:110276,ce100,ce100
fever:110280,ce100,ce100
fever:110294,ce20,bm25
fever:110334,ce100,ce100
fever:110351,ce20,ce100
fever:110357,ce20,ce100
fever:110376,ce100,ce100
fever:110379,ce20,ce100
fever:110394,ce20,ce100
fever:110396,ce100,ce100
fever:110420,ce20,ce100
fever:110429,ce100,ce100
fever:110489,ce20,bm25
fever:110504,ce20,ce100
fever:110506,ce100,ce100
fever:110514,ce20,ce100
fever:110534,ce100,ce100
fever:110538,ce100,ce100
fever:110571,ce20,ce100
fever:110581,ce20,ce100
fever:110585,ce100,ce100
fever:110599,bm25,bm25
fever:110602,ce20,ce100
fever:110635,ce20,ce100
fever:110645,ce20,ce100
fever:110647,ce100,ce100
fever:110652,ce100,ce100
fever:110672,ce100,ce100
fever:110681,ce20,bm25
fever:110683,ce20,ce100
fever:110703,ce100,ce100
fever:110717,ce100,ce100
fever:110731,ce20,ce100
fever:110749,ce20,bm25
fever:110760,ce20,ce100
fever:110761,ce20,ce100
fever:110762,ce20,ce100
fever:110770,ce100,ce100
fever:110772,ce20,ce100
fever:110815,ce100,ce100
fever:110831,ce20,ce100
fever:110839,bm25,bm25
fever:110873,ce100,ce100
fever:110887,ce20,bm25
fever:11090,ce100,ce100
fever:11091,ce100,ce100
fever:110925,ce100,ce100
fever:110933,ce20,ce100
fever:110998,ce20,ce100
fever:111004,ce20,ce100
fever:111005,ce100,ce100
fever:111049,ce20,bm25
fever:111060,bm25,bm25
fever:111069,ce100,ce100
fever:111074,ce20,ce100
fever:1111,ce20,ce100
fever:111113,ce20,ce100
fever:111121,ce100,ce100
fever:111138,bm25,bm25
fever:111151,ce20,ce100
fever:111153,ce20,ce100
fever:111176,ce20,bm25
fever:111185,ce100,ce100
fever:1112,ce20,ce100
fever:111203,ce20,ce100
fever:111206,ce20,ce100
fever:111213,ce100,ce100
fever:111285,ce100,ce100
fever:111302,ce100,ce100
fever:111321,ce20,ce100
fever:111325,ce100,ce100
fever:111363,ce100,ce100
fever:111408,ce20,ce100
fever:111414,bm25,bm25
fever:111424,ce100,ce100
fever:111428,ce20,ce100
fever:11145,ce100,ce100
fever:11146,ce100,ce100
fever:111462,ce20,ce100
fever:111503,ce20,ce100
fever:11151,ce20,bm25
fever:111510,ce20,ce100
fever:111514,ce100,ce100
fever:111590,ce20,ce100
fever:111594,ce100,ce100
fever:111620,ce20,ce100
fever:111646,ce100,ce100
fever:111662,bm25,bm25
fever:111685,ce100,ce100
fever:111713,ce20,ce100
fever:111717,ce20,ce100
fever:111719,ce100,ce100
fever:111721,ce100,ce100
fever:111764,ce100,ce100
fever:111769,ce100,ce100
fever:11178,ce20,ce100
fever:111823,ce20,bm25
fever:11184,ce100,ce100
fever:111850,ce20,bm25
fever:111893,ce100,ce100
fever:111897,ce100,ce100
fever:111938,ce100,ce100
fever:11194,ce100,ce100
fever:111943,ce100,ce100
fever:111976,ce20,ce100
fever:111980,ce100,ce100
fever:111993,ce100,ce100
fever:112048,ce100,ce100
fever:112064,ce20,ce100
fever:112082,ce20,bm25
fever:112087,ce100,ce100
fever:112137,ce20,ce100
fever:112163,ce100,ce100
fever:112166,ce20,ce100
fever:112167,ce20,ce100
fever:112180,ce100,ce100
fever:112222,ce20,ce100
fever:112242,ce20,ce100
fever:112270,bm25,bm25
fever:112277,ce20,ce100
fever:112295,ce20,ce100
fever:112301,bm25,bm25
fever:112302,ce100,ce100
fever:112315,ce20,ce100
fever:112316,ce20,ce100
fever:112320,bm25,bm25
fever:112326,ce20,bm25
fever:112329,ce100,ce100
fever:112334,ce100,ce100
fever:112341,ce20,ce100
fever:112345,ce20,bm25
fever:112362,ce20,ce100
fever:11237,ce20,ce100
fever:112371,ce20,ce100
fever:112394,bm25,bm25
fever:112396,ce100,ce100
fever:112416,ce20,ce100
fever:112423,ce100,ce100
fever:112427,bm25,bm25
fever:112438,ce20,bm25
fever:112454,ce20,ce100
fever:112471,bm25,bm25
fever:112488,ce20,bm25
fever:112489,ce20,bm25
fever:112495,ce20,ce100
fever:112506,ce100,ce100
fever:11253,ce20,bm25
fever:112545,ce100,ce100
fever:112565,ce20,bm25
fever:112568,ce20,ce100
fever:112573,ce20,ce100
fever:112585,ce20,ce100
fever:112592,ce20,ce100
fever:1126,bm25,bm25
fever:112650,ce100,ce100
fever:112668,ce20,ce100
fever:11269,ce20,ce100
fever:112698,ce100,ce100
fever:112701,ce100,ce100
fever:112725,ce20,ce100
fever:112757,ce20,bm25
fever:112773,ce100,ce100
fever:112777,ce20,ce100
fever:112782,ce20,ce100
fever:112790,ce100,ce100
fever:112842,ce20,ce100
fever:112877,ce20,ce100
fever:112890,ce100,ce100
fever:11290,bm25,bm25
fever:112906,ce20,ce100
fever:112911,ce20,ce100
fever:112933,ce100,ce100
fever:112934,ce100,ce100
fever:112940,ce20,ce100
fever:112950,ce100,ce100
fever:112965,ce100,ce100
fever:112981,ce20,ce100
fever:112986,ce20,bm25
fever:112990,ce20,bm25
fever:113008,ce100,ce100
fever:113010,ce20,bm25
fever:113032,ce100,ce100
fever:113047,bm25,bm25
fever:113068,ce20,ce100
fever:113080,bm25,bm25
fever:113098,bm25,bm25
fever:11310,ce20,ce100
fever:113103,ce20,ce100
fever:113106,ce20,bm25
fever:11312,ce20,ce100
fever:113127,ce100,ce100
fever:11315,bm25,bm25
fever:113150,ce100,ce100
fever:113188,ce20,ce100
fever:113210,ce100,ce100
fever:113212,ce100,ce100
fever:113214,ce20,ce100
fever:113235,ce20,ce100
fever:113247,ce100,ce100
fever:113260,ce20,ce100
fever:113267,ce20,ce100
fever:113275,ce20,ce100
fever:113279,ce100,ce100
fever:113297,ce100,ce100
fever:113302,ce20,bm25
fever:113333,ce20,ce100
fever:113341,ce100,ce100
fever:113343,ce20,ce100
fever:113349,ce20,ce100
fever:113357,ce100,ce100
fever:113361,ce20,ce100
fever:113374,ce20,ce100
fever:113381,ce100,ce100
fever:113422,ce100,ce100
fever:11345,bm25,bm25
fever:11346,ce20,ce100
fever:113467,ce100,ce100
fever:113476,ce20,bm25
fever:113488,bm25,bm25
fever:113505,ce100,ce100
fever:113518,ce100,ce100
fever:11352,ce100,ce100
fever:113560,bm25,bm25
fever:1136,ce20,ce100
fever:113613,ce100,ce100
fever:113664,ce100,ce100
fever:113679,ce20,ce100
fever:113686,ce100,ce100
fever:113688,ce20,ce100
fever:11369,ce100,ce100
fever:113691,ce20,ce100
fever:113712,ce100,ce100
fever:113754,ce100,ce100
fever:113780,ce100,ce100
fever:113824,ce100,ce100
fever:113882,ce20,ce100
fever:113884,ce20,ce100
fever:113889,ce20,bm25
fever:1139,bm25,bm25
fever:113912,ce20,ce100
fever:113927,ce20,ce100
fever:113936,ce100,ce100
fever:113944,ce20,ce100
fever:113953,ce100,ce100
fever:113963,ce100,ce100
fever:11398,ce20,ce100
fever:113990,ce100,ce100
fever:114000,ce100,ce100
fever:114010,ce100,ce100
fever:114012,ce20,ce100
fever:11404,ce100,ce100
fever:11405,ce100,ce100
fever:114050,bm25,bm25
fever:114062,ce100,ce100
fever:114066,ce20,ce100
fever:114093,ce20,ce100
fever:114122,ce100,ce100
fever:11414,bm25,bm25
fever:114158,bm25,bm25
fever:11418,ce20,bm25
fever:114188,ce100,ce100
fever:114200,ce20,ce100
fever:114249,ce100,ce100
fever:114251,ce100,ce100
fever:11431,ce20,bm25
fever:11432,ce20,ce100
fever:114360,ce100,ce100
fever:114387,ce100,ce100
fever:11441,bm25,bm25
fever:114422,bm25,bm25
fever:11443,ce20,ce100
fever:114463,ce20,ce100
fever:114469,ce100,ce100
fever:114475,ce100,ce100
fever:11449,ce20,bm25
fever:114495,bm25,bm25
fever:11451,ce100,ce100
fever:114523,ce20,ce100
fever:114538,bm25,bm25
fever:114567,ce100,ce100
fever:114574,ce100,ce100
fever:114588,ce20,ce100
fever:114609,ce100,ce100
fever:114620,ce20,ce100
fever:114625,ce20,ce100
fever:114640,ce20,bm25
fever:114659,ce20,bm25
fever:114720,ce100,ce100
fever:114735,ce20,ce100
fever:114739,ce20,ce100
fever:114748,ce20,bm25
fever:114770,ce100,ce100
fever:114778,ce20,bm25
fever:11478,ce100,ce100
fever:11479,ce20,ce100
fever:114792,ce20,ce100
fever:114795,ce100,ce100
fever:114829,bm25,bm25
fever:114857,ce20,ce100
fever:114896,ce100,ce100
fever:114897,ce20,ce100
fever:114900,ce100,ce100
fever:11491,ce20,ce100
fever:114912,bm25,bm25
