query_uid,arr3_seed20260807,arr3_seed20260808,arr3_seed20260809,arr3_seed20260810,arr3_seed20260811,arr5_seed20260807,arr5_seed20260808,arr5_seed20260809,arr5_seed20260810,arr5_seed20260811
fever:10100,bm25,bm25,ce100,ce100,ce100,hybrid,hybrid,hybrid,bi200,bi200
fever:101008,bm25,bm25,bm25,bm25,bm25,ce20,bm25,bm25,bm25,bm25
fever:101012,bm25,bm25,bm25,bm25,bm25,bm25,bm25,hybrid,hybrid,ce20
fever:101014,ce20,bm25,bm25,bm25,bm25,ce20,ce20,bm25,ce20,hybrid
fever:101017,ce20,ce100,ce20,ce100,ce100,ce20,ce100,ce100,hybrid,ce100
fever:101027,ce20,ce100,ce100,ce100,ce20,ce100,ce100,ce20,ce20,hybrid
fever:10103,ce20,ce100,bm25,bm25,bm25,bm25,ce20,hybrid,bi200,ce20
fever:101042,ce100,ce100,ce100,ce20,ce100,hybrid,bm25,hybrid,bi200,bm25
fever:101062,ce20,bm25,bm25,ce20,bm25,bi200,hybrid,hybrid,hybrid,hybrid
fever:101101,ce20,ce100,ce20,ce20,ce20,ce100,ce100,ce20,bi200,hybrid
fever:101109,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bi200
fever:101111,ce100,ce100,ce100,ce100,ce100,ce100,ce100,hybrid,hybrid,hybrid
fever:101118,bm25,bm25,ce20,bm25,ce20,hybrid,hybrid,ce100,bi200,bi200
fever:101125,ce20,ce100,ce20,ce100,ce100,ce100,bi200,bi200,ce100,hybrid
fever:101142,bm25,ce20,ce20,ce20,ce20,ce20,ce100,ce20,ce20,bi200
fever:10117,ce20,ce20,ce20,bm25,ce20,bi200,bm25,bm25,bi200,bm25
fever:101176,ce20,ce100,bm25,ce20,bm25,ce20,bm25,ce20,ce100,bm25
fever:10118,ce20,ce20,bm25,bm25,ce20,ce20,bm25,bi200,ce20,bi200
fever:101183,ce20,ce100,ce100,ce100,ce100,bi200,ce100,hybrid,bi200,bi200
fever:101212,ce100,ce100,ce100,bm25,bm25,bi200,ce100,hybrid,hybrid,hybrid
fever:101224,bm25,bm25,bm25,bm25,bm25,bi200,bm25,hybrid,bi200,bm25
fever:101300,ce100,ce100,ce100,ce100,ce100,bi200,ce100,bi200,hybrid,hybrid
fever:101322,bm25,ce100,bm25,bm25,bm25,hybrid,ce100,bm25,hybrid,bm25
fever:101340,ce20,ce20,bm25,ce20,bm25,ce20,ce100,ce20,ce20,ce20
fever:101434,ce100,bm25,ce20,bm25,ce100,ce20,ce100,ce100,ce100,bi200
fever:10146,bm25,ce20,bm25,bm25,ce20,hybrid,bm25,ce20,ce20,hybrid
fever:101462,bm25,ce20,ce20,ce20,ce100,bi200,hybrid,bi200,ce100,ce20
fever:10147,bm25,ce20,bm25,ce20,ce20,ce20,bm25,ce20,ce20,bm25
fever:101473,ce20,ce20,bm25,ce20,ce20,ce20,ce20,bm25,ce20,ce20
fever:101482,ce20,ce20,bm25,bm25,ce20,ce20,ce100,ce20,ce20,ce20
fever:101506,bm25,bm25,bm25,bm25,bm25,bi200,bm25,ce20,bm25,hybrid
fever:10151,ce20,bm25,ce20,bm25,bm25,ce100,bm25,bm25,bi200,bi200
fever:10152,ce20,bm25,bm25,bm25,ce100,ce100,ce100,ce20,hybrid,ce20
fever:101528,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,hybrid
fever:101552,bm25,bm25,bm25,bm25,bm25,ce100,bm25,hybrid,hybrid,bm25
fever:101553,ce100,ce100,ce100,ce100,ce100,bi200,ce100,hybrid,ce100,bi200
fever:101558,bm25,ce20,ce100,ce20,bm25,bm25,bm25,ce20,bi200,bi200
fever:101565,ce100,ce100,ce100,bm25,ce100,bi200,ce20,hybrid,bi200,bi200
fever:10158,bm25,ce20,ce20,ce20,ce20,ce100,bi200,hybrid,hybrid,ce20
fever:101583,ce100,ce100,ce100,ce20,ce20,ce20,ce100,ce20,ce20,ce100
fever:101604,bm25,bm25,bm25,bm25,ce20,hybrid,hybrid,hybrid,hybrid,bi200
fever:101618,ce20,ce20,bm25,bm25,ce20,ce20,bm25,hybrid,ce20,bm25
fever:101619,bm25,bm25,bm25,bm25,bm25,bi200,bm25,bm25,bm25,bm25
fever:101638,ce100,bm25,bm25,bm25,ce20,bi200,ce100,ce20,ce20,bm25
fever:10164,ce20,bm25,bm25,ce100,ce100,bi200,ce100,ce20,ce20,ce100
fever:101641,ce100,ce100,bm25,ce100,ce100,bi200,ce100,hybrid,bi200,ce20
fever:101656,bm25,bm25,bm25,bm25,bm25,bi200,bm25,hybrid,hybrid,hybrid
fever:101661,bm25,bm25,bm25,bm25,ce20,hybrid,ce100,bi200,ce100,hybrid
fever:101668,bm25,ce20,ce20,ce20,ce20,bm25,ce20,ce20,ce20,bm25
fever:101680,ce20,ce20,bm25,ce20,ce20,bi200,bi200,hybrid,ce20,hybrid
fever:101683,ce20,ce100,ce20,bm25,ce20,ce100,ce20,hybrid,bm25,ce100
fever:101702,ce20,ce20,bm25,ce20,ce20,ce100,bi200,ce20,bi200,hybrid
fever:101708,bm25,ce20,bm25,bm25,ce20,ce20,bm25,bm25,ce20,ce20
fever:101715,ce20,ce20,bm25,bm25,ce20,bi200,bm25,hybrid,ce20,ce100
fever:101716,bm25,ce100,ce100,bm25,ce100,bi200,bi200,hybrid,bi200,bi200
fever:101722,bm25,bm25,ce20,bm25,bm25,ce100,bm25,hybrid,hybrid,hybrid
fever:101759,ce100,ce100,ce100,bm25,ce100,hybrid,bm25,bi200,bi200,bm25
fever:101771,ce100,ce20,ce20,ce20,ce20,ce20,bi200,hybrid,bi200,hybrid
fever:101773,bm25,ce20,bm25,bm25,ce20,ce20,bm25,ce20,ce20,ce20
fever:101795,ce20,ce20,ce20,ce20,ce100,ce100,bi200,hybrid,hybrid,hybrid
fever:101808,ce100,ce100,ce100,ce100,ce100,ce100,ce100,hybrid,bi200,hybrid
fever:101812,ce20,bm25,bm25,bm25,bm25,bi200,bi200,ce20,ce100,bm25
fever:101821,bm25,bm25,ce20,bm25,bm25,ce20,bi200,bm25,bm25,ce20
fever:101839,bm25,ce100,ce20,ce20,ce20,ce100,ce100,ce20,ce20,ce20
fever:101845,bm25,ce20,ce20,bm25,ce20,ce20,ce20,ce20,ce20,bm25
fever:101883,ce20,ce20,bm25,bm25,ce20,bm25,ce100,ce20,ce20,ce20
fever:101898,ce100,ce100,ce100,ce100,ce100,ce100,ce100,bi200,ce20,ce20
fever:101906,ce100,ce100,ce100,bm25,ce100,hybrid,ce100,bi200,hybrid,hybrid
fever:101932,ce20,ce20,ce20,ce100,ce100,ce100,bi200,ce20,bi200,bi200
fever:101985,bm25,ce20,ce20,ce100,ce20,ce20,ce20,bi200,ce100,hybrid
fever:102001,ce20,ce100,ce20,bm25,ce20,ce100,ce100,bi200,hybrid,hybrid
fever:102003,bm25,bm25,bm25,bm25,bm25,bi200,ce20,hybrid,ce20,ce20
fever:102014,bm25,bm25,ce20,bm25,ce20,ce100,hybrid,hybrid,hybrid,hybrid
fever:102019,ce20,bm25,bm25,bm25,bm25,hybrid,bi200,bi200,bm25,bi200
fever:102020,ce20,ce100,ce100,ce100,ce100,bi200,ce100,bi200,bi200,bi200
fever:102035,ce20,ce20,bm25,ce20,bm25,bm25,bi200,bm25,bm25,bi200
fever:102038,bm25,ce100,ce100,bm25,ce100,ce100,bi200,hybrid,hybrid,hybrid
fever:10204,bm25,ce20,bm25,ce20,ce20,bi200,bi200,hybrid,bi200,bi200
fever:10205,bm25,ce20,bm25,bm25,ce20,bi200,bi200,hybrid,bi200,bm25
fever:102079,bm25,bm25,bm25,ce20,bm25,bm25,bi200,bm25,ce20,bm25
fever:102080,ce20,bm25,ce20,ce20,ce20,ce100,hybrid,hybrid,hybrid,hybrid
fever:102120,bm25,ce20,ce20,bm25,bm25,bm25,bm25,bi200,ce20,bm25
fever:102142,ce20,ce100,ce20,ce100,ce100,ce100,ce100,ce100,ce100,ce100
fever:102151,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bi200,ce20,ce20
fever:102161,bm25,ce20,ce20,bm25,ce100,ce20,ce100,ce20,ce20,ce100
fever:102173,bm25,ce20,ce20,ce20,ce20,ce20,ce100,hybrid,ce20,ce20
fever:102175,bm25,bm25,bm25,bm25,ce100,ce100,bi200,bi200,bi200,ce20
fever:102209,ce20,ce100,ce20,ce20,ce20,ce20,bi200,ce20,ce20,ce20
fever:102297,ce20,ce100,ce20,ce100,ce20,bi200,bm25,ce100,ce20,bi200
fever:102303,ce20,ce100,bm25,bm25,bm25,ce100,ce100,ce20,bm25,hybrid
fever:102346,ce20,bm25,ce100,ce20,ce20,ce20,ce100,ce20,ce20,hybrid
fever:102352,bm25,ce20,bm25,bm25,ce20,bi200,bi200,hybrid,bi200,ce100
fever:102355,bm25,bm25,bm25,bm25,bm25,bi200,bm25,hybrid,bi200,bi200
fever:102393,bm25,ce20,bm25,bm25,bm25,hybrid,ce100,bm25,hybrid,bm25
fever:102417,ce100,ce100,ce100,ce100,ce100,ce20,ce100,ce100,bi200,bi200
fever:102418,ce100,ce100,ce100,ce20,ce100,ce20,bi200,ce100,bi200,bi200
fever:102445,ce100,ce100,ce20,ce100,ce100,ce100,ce100,bi200,ce100,ce100
fever:102448,bm25,ce20,ce20,bm25,ce20,ce20,bi200,ce20,ce20,bi200
fever:102487,bm25,bm25,bm25,bm25,bm25,bm25,ce20,bm25,bm25,bm25
fever:102523,ce100,ce100,ce100,ce100,ce100,hybrid,bi200,hybrid,ce100,bi200
fever:102528,ce100,ce20,ce20,bm25,ce20,ce20,bi200,bm25,ce20,bi200
fever:102540,ce100,ce20,ce20,bm25,ce20,ce20,ce100,ce100,hybrid,ce100
fever:102547,ce20,ce20,ce20,bm25,ce20,ce20,ce100,ce20,ce100,bm25
fever:102583,ce100,ce100,ce100,ce100,ce100,ce100,bi200,ce100,hybrid,bi200
fever:102594,bm25,ce20,ce20,bm25,bm25,ce20,bm25,ce20,ce20,hybrid
fever:102600,ce20,bm25,bm25,bm25,ce20,hybrid,bm25,bm25,bm25,ce20
fever:102605,ce20,ce20,bm25,ce20,ce20,ce100,bi200,bi200,ce20,ce100
fever:10261,ce20,ce100,ce100,ce100,ce100,ce100,ce100,bi200,bi200,bi200
fever:10262,ce20,bm25,bm25,ce20,ce100,ce100,ce100,bi200,bi200,bi200
fever:102627,ce20,ce20,bm25,ce20,ce20,bi200,ce100,ce100,ce100,hybrid
fever:102636,bm25,bm25,bm25,bm25,ce20,bm25,ce20,hybrid,bm25,bm25
fever:102714,ce100,ce100,bm25,bm25,ce100,bi200,bi200,bi200,bi200,bm25
fever:10272,bm25,ce20,ce20,bm25,ce20,ce20,ce100,ce20,ce20,ce100
fever:102721,ce100,ce20,bm25,ce20,ce20,ce100,hybrid,bi200,ce20,ce20
fever:102741,bm25,ce20,ce20,bm25,ce20,ce100,bi200,ce100,hybrid,ce20
fever:102745,ce100,ce100,bm25,ce100,ce100,bi200,bi200,ce20,bi200,hybrid
fever:102751,ce20,ce20,ce20,bm25,ce20,ce100,ce100,ce20,hybrid,bi200
fever:10277,bm25,bm25,bm25,bm25,bm25,bm25,ce20,bi200,bm25,bm25
fever:10278,ce20,bm25,bm25,bm25,bm25,ce20,ce20,bi200,ce20,bi200
fever:102784,bm25,bm25,bm25,bm25,bm25,bm25,bi200,bm25,ce20,bi200
fever:102789,bm25,bm25,bm25,bm25,bm25,hybrid,bm25,bm25,bm25,bm25
fever:102793,bm25,ce20,ce20,bm25,ce20,bi200,hybrid,hybrid,hybrid,ce20
fever:102797,ce20,ce20,ce20,bm25,ce100,ce20,ce100,ce20,ce20,ce20
fever:102818,ce100,ce100,ce20,bm25,ce100,ce100,ce100,bi200,bi200,hybrid
fever:102832,ce100,ce100,ce20,ce20,ce100,ce20,ce100,ce100,ce100,ce100
fever:102872,ce20,ce100,ce20,ce100,ce20,ce100,bi200,ce20,bi200,ce100
fever:102875,ce100,ce100,ce100,ce100,ce100,bi200,ce100,ce20,hybrid,bi200
fever:102876,bm25,ce20,bm25,ce100,ce20,bi200,bi200,hybrid,hybrid,hybrid
fever:102884,bm25,bm25,ce100,bm25,bm25,bm25,bm25,bm25,bi200,bm25
fever:102892,ce20,ce100,bm25,bm25,ce100,ce100,bm25,ce20,ce20,hybrid
fever:102911,ce20,ce100,ce20,bm25,ce20,ce20,bm25,ce20,ce20,bm25
fever:102913,ce20,ce20,ce100,ce20,ce100,bi200,ce20,bm25,bm25,bm25
fever:102920,ce100,ce20,ce20,ce100,ce100,bi200,ce100,bi200,hybrid,bi200
fever:102932,ce20,ce20,bm25,bm25,ce20,bi200,ce100,bi200,bm25,ce20
fever:102986,ce20,ce20,bm25,ce20,ce20,bi200,hybrid,ce20,ce20,hybrid
fever:102990,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25
fever:10300,ce100,ce20,ce20,bm25,ce100,bm25,ce100,bi200,hybrid,hybrid
fever:103003,ce20,bm25,bm25,bm25,ce20,bi200,ce100,hybrid,bm25,hybrid
fever:103005,bm25,bm25,bm25,bm25,bm25,bm25,ce100,ce20,ce20,ce20
fever:103014,ce20,bm25,bm25,bm25,ce20,bm25,bm25,bm25,bm25,bm25
fever:103040,ce20,ce100,ce100,bm25,ce20,bi200,ce100,ce20,ce20,hybrid
fever:103050,ce100,ce100,ce100,ce100,ce100,ce100,ce100,bi200,hybrid,ce100
fever:103051,ce20,ce100,ce100,ce20,ce20,ce100,ce100,ce20,ce20,ce100
fever:103060,bm25,bm25,ce20,bm25,bm25,bm25,bm25,ce20,ce20,bm25
fever:103063,ce100,ce100,ce100,bm25,ce100,ce100,bi200,bi200,bi200,hybrid
fever:103084,ce20,ce20,ce20,bm25,ce20,bi200,bm25,hybrid,ce20,bm25
fever:103098,bm25,bm25,ce20,bm25,ce20,ce20,ce100,ce20,ce100,bi200
fever:103111,ce20,ce100,ce20,ce100,ce20,ce20,ce100,ce20,ce100,hybrid
fever:103116,ce20,ce20,ce20,bm25,ce20,ce20,ce20,ce20,ce20,bm25
fever:103118,bm25,bm25,bm25,bm25,ce20,bi200,bm25,bm25,bi200,hybrid
fever:10312,ce100,ce100,ce100,ce100,ce100,hybrid,ce100,ce20,ce100,ce100
fever:103154,bm25,ce20,bm25,bm25,ce20,ce100,bm25,bm25,bi200,ce20
fever:103158,bm25,bm25,ce20,bm25,bm25,ce20,hybrid,ce100,ce20,ce20
fever:103167,bm25,bm25,bm25,bm25,bm25,bi200,bi200,bm25,bi200,ce20
fever:103173,bm25,bm25,ce20,bm25,bm25,ce20,bi200,ce20,hybrid,bm25
fever:1032,ce100,ce100,ce100,ce100,bm25,ce100,bi200,ce100,ce100,ce100
fever:103221,ce20,bm25,bm25,ce20,ce20,hybrid,bm25,hybrid,hybrid,bi200
fever:103234,bm25,bm25,ce20,ce20,ce20,bm25,ce100,ce20,ce20,ce20
fever:10324,bm25,ce20,ce20,bm25,bm25,ce20,bi200,bi200,ce20,ce20
fever:10327,ce20,bm25,bm25,bm25,bm25,ce20,ce20,ce20,bm25,bm25
fever:10328,ce20,bm25,bm25,bm25,ce20,bm25,ce20,ce20,bm25,bm25
fever:103298,ce20,ce100,ce100,ce100,ce20,bi200,bi200,bi200,hybrid,bi200
fever:103307,bm25,bm25,ce100,bm25,ce100,ce20,bm25,bm25,ce20,ce20
fever:103325,ce20,bm25,ce20,ce20,ce20,bi200,bi200,bm25,bm25,bi200
fever:103357,ce20,ce100,ce20,bm25,ce20,ce100,ce100,ce20,hybrid,hybrid
fever:103375,ce100,ce100,bm25,ce100,ce100,bi200,bi200,hybrid,hybrid,bi200
fever:103398,ce100,bm25,bm25,bm25,bm25,bi200,ce100,hybrid,hybrid,bi200
fever:103402,ce100,ce100,ce100,ce20,ce100,ce100,ce100,hybrid,ce20,hybrid
fever:103451,ce100,ce20,ce100,ce100,ce100,ce100,ce100,ce100,ce100,hybrid
fever:103456,bm25,ce20,bm25,bm25,ce20,ce20,bi200,hybrid,bi200,bm25
fever:103484,ce20,bm25,bm25,bm25,ce20,bi200,ce100,ce20,hybrid,hybrid
fever:1035,bm25,bm25,bm25,bm25,ce20,ce20,bm25,hybrid,bm25,bm25
fever:103503,ce20,ce20,bm25,bm25,bm25,ce20,bm25,bm25,bm25,bm25
fever:103509,ce20,bm25,bm25,bm25,bm25,bi200,ce20,hybrid,bi200,hybrid
fever:103511,bm25,ce100,ce100,bm25,ce100,bi200,bi200,hybrid,bi200,bi200
fever:103535,ce20,bm25,bm25,bm25,ce20,hybrid,bi200,hybrid,hybrid,hybrid
fever:103545,bm25,ce20,ce20,bm25,ce20,ce20,hybrid,hybrid,hybrid,bm25
fever:103562,ce20,bm25,bm25,bm25,ce20,bm25,ce20,bm25,bm25,bm25
fever:103568,bm25,bm25,bm25,bm25,ce20,ce20,hybrid,bm25,ce20,ce20
fever:10357,ce20,ce20,ce20,ce20,ce20,ce20,ce20,ce20,bm25,bm25
fever:103583,ce100,ce100,ce100,ce100,ce100,ce100,ce100,bi200,hybrid,hybrid
fever:103643,ce20,ce20,ce20,bm25,ce20,ce20,ce100,ce20,ce20,ce20
fever:103663,bm25,ce100,ce100,bm25,ce20,bi200,bi200,hybrid,bi200,hybrid
fever:103665,ce20,bm25,bm25,ce20,ce20,ce20,ce20,bi200,bm25,ce20
fever:103709,bm25,ce100,bm25,ce20,ce100,ce20,ce20,hybrid,bi200,ce20
fever:103717,ce20,ce100,bm25,bm25,ce20,ce100,ce20,hybrid,hybrid,ce20
fever:103742,ce20,ce20,ce20,ce20,ce100,bi200,bi200,bi200,bi200,ce20
fever:103745,bm25,ce100,bm25,bm25,bm25,bm25,bm25,hybrid,bi200,ce20
fever:103757,bm25,bm25,ce100,bm25,ce20,bi200,hybrid,hybrid,bi200,bi200
fever:103758,bm25,bm25,ce20,bm25,bm25,bm25,bm25,hybrid,hybrid,bi200
fever:103767,bm25,ce100,bm25,bm25,ce100,bi200,bi200,bi200,bi200,bm25
fever:103773,ce100,ce100,ce20,ce100,ce100,ce20,ce20,ce100,ce100,hybrid
fever:10378,bm25,bm25,bm25,bm25,bm25,ce100,bi200,hybrid,ce20,hybrid
fever:103786,bm25,bm25,ce20,bm25,ce20,ce20,ce20,ce20,bm25,bm25
fever:10379,bm25,bm25,bm25,bm25,bm25,ce100,bi200,ce20,ce20,hybrid
fever:103809,ce20,ce100,ce20,bm25,ce100,bi200,bi200,bm25,hybrid,bi200
fever:103816,bm25,ce100,ce20,bm25,bm25,ce20,ce100,ce100,ce20,bi200
fever:103833,bm25,bm25,ce20,bm25,ce100,bi200,hybrid,bi200,ce20,bi200
fever:103840,ce20,bm25,bm25,bm25,bm25,ce20,bm25,ce20,bm25,bm25
fever:103862,bm25,ce20,ce20,ce20,ce20,bm25,ce20,ce20,ce20,bm25
fever:103863,ce20,bm25,ce20,bm25,ce20,ce20,hybrid,bm25,hybrid,ce20
fever:103872,ce100,ce100,ce20,ce20,ce20,ce20,ce20,hybrid,ce20,bi200
fever:103893,ce100,bm25,bm25,ce20,ce20,hybrid,hybrid,bi200,hybrid,ce20
fever:103914,bm25,ce20,bm25,bm25,ce20,ce20,bm25,hybrid,bm25,hybrid
fever:103934,ce20,bm25,ce20,ce20,ce20,ce20,ce100,ce100,ce100,ce20
fever:103941,ce20,ce20,ce20,bm25,ce20,bi200,bi200,hybrid,bi200,hybrid
fever:103947,ce100,ce100,ce100,bm25,bm25,bi200,ce100,bi200,hybrid,ce20
fever:103948,bm25,bm25,ce20,bm25,ce100,ce20,bi200,hybrid,ce20,bm25
fever:103951,bm25,ce100,ce100,ce100,ce100,bi200,bi200,ce100,hybrid,bi200
fever:103964,ce100,ce100,ce100,bm25,ce100,bi200,bi200,hybrid,hybrid,bi200
fever:103994,ce20,ce20,ce100,ce20,ce20,ce20,ce100,bm25,ce20,ce100
fever:104017,ce100,ce100,ce100,ce100,ce100,ce100,ce100,hybrid,hybrid,bm25
fever:104021,bm25,bm25,bm25,bm25,bm25,bm25,bm25,hybrid,bi200,bm25
fever:104031,ce100,ce100,bm25,ce100,ce20,ce100,bi200,ce100,hybrid,ce20
fever:104036,ce20,bm25,ce100,ce100,ce100,hybrid,ce100,bi200,bi200,bi200
fever:104075,ce20,ce20,ce20,bm25,ce100,ce100,ce20,hybrid,ce20,ce20
fever:104129,ce100,ce100,bm25,bm25,ce100,bi200,ce100,hybrid,hybrid,ce20
fever:104135,bm25,bm25,bm25,bm25,bm25,bm25,ce20,bm25,ce20,bm25
fever:104150,ce20,bm25,bm25,ce20,bm25,ce20,bm25,hybrid,hybrid,ce100
fever:104152,bm25,ce20,bm25,bm25,ce20,bi200,bi200,bm25,bi200,bi200
fever:104178,ce20,bm25,bm25,bm25,ce20,hybrid,ce100,bm25,ce20,bm25
fever:104205,bm25,bm25,bm25,ce20,bm25,ce20,bm25,bi200,ce20,bm25
fever:104206,ce20,bm25,bm25,bm25,ce20,ce20,ce100,hybrid,ce20,ce20
fever:104221,ce20,bm25,bm25,bm25,ce20,bi200,bi200,bm25,bi200,bi200
fever:104241,bm25,ce20,bm25,bm25,ce20,bi200,ce100,ce20,hybrid,hybrid
fever:104244,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25
fever:104249,ce20,ce100,bm25,ce20,bm25,ce20,bm25,ce100,ce20,bi200
fever:104255,ce20,bm25,ce20,bm25,ce20,ce20,ce100,ce20,ce20,ce20
fever:104298,ce20,ce100,ce20,ce100,ce20,ce20,bi200,ce20,ce100,hybrid
fever:104308,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25
fever:104332,bm25,bm25,bm25,bm25,bm25,ce20,bm25,ce20,bm25,bm25
fever:104365,ce20,ce100,ce20,bm25,ce20,bi200,ce100,ce100,hybrid,hybrid
fever:104380,ce100,ce100,ce100,ce100,ce20,ce100,hybrid,ce100,ce100,bi200
fever:104386,ce20,ce20,ce20,bm25,ce20,bi200,ce100,ce20,bi200,bi200
fever:104423,ce20,bm25,bm25,bm25,ce20,bi200,bm25,ce20,bm25,bm25
fever:104426,ce20,bm25,bm25,bm25,ce20,ce20,ce100,hybrid,ce20,bi200
fever:104427,ce20,ce20,bm25,bm25,ce20,ce20,hybrid,hybrid,ce20,bi200
fever:104438,bm25,ce20,ce20,ce20,ce20,ce20,bm25,ce20,ce20,bm25
fever:104458,bm25,bm25,bm25,ce20,bm25,bm25,bm25,ce20,bi200,bm25
